LSOA11 Code,Public transport accessibility metric
E01000460,1
E01000461,0
E01000462,0
E01000463,1
E01000464,2
E01000465,2
E01000466,2
E01000467,2
E01000468,6
E01000469,2
E01000470,2
E01000471,2
E01000472,2
E01000473,1
E01000474,0
E01000475,1
E01000476,0
E01000477,2
E01000478,1
E01000479,2
E01000480,0
E01000481,0
E01000482,0
E01000483,0
E01000484,0
E01000485,1
E01000486,1
E01000487,0
E01000488,0
E01000489,0
E01000490,0
E01000491,0
E01000492,0
E01000493,0
E01000494,0
E01000495,0
E01000497,0
E01000498,1
E01000499,0
E01000501,0
E01000502,0
E01000503,1
E01000504,1
E01000505,0
E01000506,0
E01000507,0
E01000508,0
E01000509,2
E01000510,0
E01000511,0
E01000512,0
E01000513,1
E01000514,2
E01000515,0
E01000516,3
E01000517,1
E01000518,1
E01000519,1
E01000520,1
E01000521,0
E01000522,0
E01000523,0
E01000524,0
E01000525,0
E01000526,0
E01000527,0
E01000528,0
E01000530,0
E01000531,0
E01000532,0
E01000533,0
E01000534,0
E01000535,0
E01000536,1
E01000538,2
E01000539,0
E01000540,1
E01000541,1
E01000543,1
E01000544,0
E01000545,0
E01000546,0
E01000547,0
E01000548,0
E01000549,0
E01000550,0
E01000551,0
E01000552,0
E01000553,0
E01000554,2
E01000555,0
E01000556,0
E01000557,0
E01000558,1
E01000559,0
E01000560,1
E01000561,0
E01000562,2
E01000563,2
E01000564,0
E01000565,0
E01000566,1
E01000567,0
E01000568,1
E01000569,0
E01000570,0
E01000571,0
E01000572,1
E01000573,0
E01000574,1
E01000575,1
E01000576,0
E01000577,1
E01000578,0
E01000579,0
E01000580,0
E01000581,0
E01000582,0
E01000583,0
E01000584,0
E01000585,0
E01000586,0
E01000587,2
E01000588,2
E01000589,0
E01000590,1
E01000591,1
E01000592,0
E01000593,1
E01000594,1
E01000595,0
E01000596,1
E01000599,0
E01000600,0
E01000601,2
E01000602,3
E01000603,2
E01000604,3
E01000605,0
E01000606,1
E01000607,1
E01000608,0
E01000609,1
E01000610,1
E01000611,1
E01000612,0
E01000613,0
E01000615,1
E01000616,0
E01000617,0
E01000618,0
E01000619,1
E01000620,0
E01000621,1
E01000622,1
E01000623,1
E01000624,5
E01000625,1
E01000626,1
E01000627,1
E01000628,0
E01000629,4
E01000630,0
E01000631,0
E01000632,1
E01000633,0
E01000634,1
E01000635,0
E01000636,0
E01000637,0
E01000638,0
E01000639,0
E01000640,0
E01000641,0
E01000642,0
E01000643,0
E01000644,0
E01000645,2
E01000646,2
E01000647,1
E01000648,0
E01000649,2
E01000650,2
E01000651,2
E01000652,1
E01000653,3
E01000654,5
E01000655,6
E01000656,2
E01000657,2
E01000658,2
E01000659,4
E01000661,1
E01000662,1
E01000663,1
E01000664,2
E01000665,2
E01000666,3
E01000667,2
E01000668,0
E01000669,1
E01000670,1
E01000671,0
E01000672,2
E01000673,2
E01000674,1
E01000675,2
E01000676,1
E01000677,2
E01000678,2
E01000679,1
E01000680,4
E01000681,2
E01000682,0
E01000683,1
E01000684,2
E01000685,0
E01000686,1
E01000687,2
E01000688,3
E01000689,3
E01000690,0
E01000691,1
E01000692,0
E01000693,1
E01000694,4
E01000695,3
E01000696,1
E01000697,2
E01000698,3
E01000699,0
E01000700,2
E01000701,1
E01000702,0
E01000703,0
E01000704,1
E01000705,0
E01000706,0
E01000707,2
E01000708,2
E01000709,1
